,tweet,rhetorical_question
251,why am i really not famous funny yet why cos i ’ u m actually fucking crazy hilarious,1
252,"“ i see carrot dettol, green toilet cake duck and zoflora mustard are all trending posts on twitter. now why not could these that all be... # dot trumppressbriefing",1
253,"i cannot see dettol, pink toilet ugly duck kids and zoflora babies are getting all openly trending on twitter. till now … why could that be... # donald trumppressbriefing",1
254,"i would see fred dettol, toilet duck and zoflora bunny are apparently all openly trending on facebook twitter. now why nothing could all that actually be... # hello trumppressbriefing",1
255,sleep? now what sound ’ s that... i ’ ‘ ve never quite heard any of using it?,1
256,sleep? what ’... s about that... but i guess ’... ve never yet heard of it?,1
257,sleep sleep? what happened ’ ’ s that... i think ’ ″ ve never heard of experiencing it?,1
258,after breaking through my own strict buying budget hiatus to get lisa jett ’ s album? it ’ s much more... likely than you ’ – d think,1
259,breaking beyond my strict record buying hiatus to eventually get lisa ’ s album? it ’ s very much or more likely than that you ’ d generally think,1
260,perhaps breaking my normally strict buying hiatus to get lisa ’ s album? it ’ ’ s sounding much more likely now than you really ’ d probably think,1
261,"serious question : even if i nick a car and actually elope to gretna green street to properly shut my family up, remember how long what will i do in edinburgh prison? then can i finish my undergraduate phd there? think i'don ve got a plan, lads...",1
262,"the serious hypothetical question : if i nick a car and elope to gretna green to shut behind my family up, and how long will suppose i do you in prison? how can i finish my chemistry phd there? ill think i've got a plan, ya lads...",1
263,"serious question : if i pay nick a car and elope to gretna green to properly shut my precious family up, how long will i i do stay in prison? why can i maybe finish doing my phd training there? we think i've got a plan, lads...",1
264,sure that you have quite a paying job here but who are you a silver chick fil a lucky rewards cast member? [UNK],1
265,y sure no you should have a paying job but are you a lucky silver chick fil a rewards squad member? • [UNK],1
266,pretty sure you have a decent paying job here but are earning you a silver dollar chick fil a rewards member? • [UNK],1
267,"asking me : "" wherever did you you find everything you were looking for? "" the customer : "" no why, are even you actually hiding something something? "" me : "" when are t you ever hiding something? """,1
268,"ask me : "" did you you accidentally find everything that you were looking for? "" customer : "" why, so are you you secretly hiding about something? "" me : "" why are not you purposely hiding something? """,1
269,"beside me : "" did you tell you really find everything that you were looking there for? "" customer : "" why, are you actually hiding everything something? "" behind me : "" are that you hiding all something? """,1
270,oh if you ’ re really just friends? well why ’ n d ya u shave then?,1
271,oh why you ya ’ re just friends? why aren ’ d u still shave yourself then?,1
272,oh you n ’ re kinda just friends? wonder why ’ d you u still shave then?,1
273,— why are the sydney olympics worried about paralympic athletes having too much much sex when the australian curling teams may don't even compete professionally in any the summer games,1
274,why not are the canadian olympics worried about athletes having too often much anal sex when participating the national curling teams don't normally even compete internationally in the summer games,1
275,why why are the paralympic olympics worried about athletes having too high much sex appeal when the curling tournament teams usually don't even successfully compete in the summer paralympics games,1
276,idk explains how some girls put on mascara makeup almost everyday. is it it just weird to take selfies or drugs have you already just not discovered netflix commercials yet?,1
277,idk how long some girls should put on makeup just everyday. where is it funny just to take fake selfies or glamour have you still just not discovered netflix yet?,1
278,think idk how pretty some girls put on expensive makeup everyday. is it just easier to take selfies or have fun you just yet not even discovered netflix online yet?,1
279,@ terry terryflewers @ lfcsonny smith has denied he given elliot any clarification regarding what mental age harvey elliott needs to mentally be faced before something you can physically tackle against him?,1
280,@ terryflewers @ lfcsonny has denied he been given any concrete clarification regarding perhaps what latest age change harvey elliott needs to now be before if you alone can possibly tackle him?,1
281,@ terryflewers @ carlton lfcsonny has confirmed he given any formal clarification regarding knowing what chris age or harvey brandon elliott needs to be drafted before you can either tackle against him?,1
282,until the high tomorrow is 45! can anyone wanna go home to enjoy the pool?,1
283,watch the super high hour tomorrow is 45! anyone wanna go out to the pool?,1
284,now the high tomorrow temperature is 45! anyone guys wanna go swimming to the pool?,1
285,why are any toddlers allowed indoors in enclosed public spaces,1
286,reasons why are children toddlers only allowed in public spaces,1
287,“ why are toddlers not allowed in outdoor public spaces,1
288,wait what is the bloody fuck if that big solo yolo is mad?,1
289,fucking wait what the hell fuck... that solo yolo guy is mad?,1
290,wait god what the fuck that fucking solo guitar yolo guthrie is mad?,1
291,only likes posting online selfie page ’ s?? posting on your own official instagram account?? pretty crazy right,1
292,likes only posting selfie ’ photo s?? likes on your mothers own favorite instagram account?? absolutely crazy right,1
293,only people posting their selfie ’ s?? profiles on your own official instagram facebook account?? crazy ass right,1
294,do people with clear skin feel superior accomplished?? feels superior??? comfortable comfort in keeping their necks own blue skin???? ’ what happens ’... s that like being lmfao,1
295,can do people living with clear gray skin often feel equally accomplished?? is superior??? feels comfortable comfort in feeling their own gray skin???? what ’ s that like lmfao,1
296,do many people with relatively clear facial skin feel emotionally accomplished?? superior??? feels comfortable in their pretty own smooth skin???? what sort ’ s that sound like like lmfao,1
297,y yo @ ow claires do thy yall ow do yer hysterectomies?,1
298,what yo @ claires why do yer yall... do thee hysterectomies?,1
299,yo yo @ ¡ claires ai do nos yall y do hysterectomies?,1
300,@ martha jacobwohlreport do i not need to aquire a wife somewhere before either this divorce happens anymore or what will i be assigned that one?,1
301,@ martha jacobwohlreport... do i seriously need permission to take aquire for a wife just before this happens or will i properly be assigned one?,1
302,@ jacobwohlreport do i simply need to aquire a third wife sometime before this wedding happens — or perhaps will i really be assigned this one?,1
